Date,Price,Open,High,Low,Vol.,Change %
Dec 27 2018,1120.20,1107.05,1126.85,1104.25,12.48,0.02
Dec 26 2018,1098.35,1085.80,1100.00,1065.65,7.21,0.01
Dec 24 2018,1089.15,1100.90,1103.20,1086.55,4.14,-0.01
Dec 21 2018,1100.20,1125.00,1131.25,1096.00,8.28,-0.03
Dec 20 2018,1128.45,1121.00,1132.50,1116.15,5.76,-0.01
Dec 19 2018,1136.80,1141.50,1147.30,1133.20,7.37,0.00
Dec 18 2018,1136.40,1123.30,1139.00,1120.50,5.87,0.01
Dec 17 2018,1129.90,1115.95,1133.00,1111.50,5.06,0.02
Dec 05 2018,1155.15,1143.75,1158.80,1139.30,5.82,0.00
Dec 04 2018,1152.30,1158.00,1158.00,1142.20,5.19,0.00
Dec 03 2018,1156.45,1174.90,1174.90,1148.50,5.57,-0.01
Nov 30 2018,1167.55,1172.30,1186.00,1162.30,10.72,0.00
Nov 29 2018,1168.50,1161.00,1179.90,1160.00,12.64,0.01
Nov 28 2018,1152.65,1132.45,1157.75,1126.30,8.00,0.02
Nov 27 2018,1128.20,1107.90,1130.00,1105.45,6.81,0.02
Nov 26 2018,1109.75,1109.00,1117.50,1097.40,6.39,0.01
Nov 22 2018,1102.85,1114.50,1125.35,1100.10,5.79,-0.01
Nov 21 2018,1112.90,1137.50,1145.50,1107.05,7.51,-0.02
Nov 20 2018,1137.40,1145.00,1155.90,1130.00,5.72,-0.01
Nov 19 2018,1150.00,1132.90,1151.70,1131.00,7.31,0.02
Nov 16 2018,1127.40,1097.95,1129.95,1097.10,11.03,0.03
Nov 15 2018,1096.85,1096.95,1103.00,1086.50,6.83,0.00
Nov 14 2018,1097.95,1105.05,1112.65,1085.50,7.79,0.00
Nov 13 2018,1099.45,1074.00,1103.00,1070.05,6.81,0.02
Nov 12 2018,1080.00,1097.70,1098.80,1074.55,5.80,-0.01
Nov 09 2018,1093.45,1106.25,1113.80,1085.00,10.84,-0.02
Nov 07 2018,1110.70,1115.00,1115.00,1106.70,1.28,0.01
Nov 06 2018,1104.10,1094.00,1112.00,1091.60,8.63,0.01
Nov 05 2018,1090.30,1073.45,1092.70,1065.00,7.58,0.01
Nov 02 2018,1074.90,1067.00,1081.00,1063.15,16.80,0.02
Nov 01 2018,1056.25,1067.90,1067.90,1050.00,9.40,0.00
Oct 31 2018,1061.25,1059.00,1065.85,1047.00,16.46,0.00
Oct 30 2018,1057.00,1085.50,1085.50,1052.10,8.81,-0.03
